,open,high,low,close,volume,EMA_10,RSI
2025-07-09 02:09:00.206471,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:10:00.312998,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:11:00.420262,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:12:00.509851,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:13:00.589799,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:14:00.677112,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:15:00.767224,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:16:00.859279,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:17:00.950621,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:18:00.044638,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:19:00.134976,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:20:00.224105,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:21:00.319290,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:22:00.417001,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:23:00.509181,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:24:00.601315,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:25:00.693937,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:26:00.799921,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:27:00.910610,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:28:00.018677,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:29:00.125660,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:30:00.236195,25522.5,25522.5,25522.5,25522.5,0,25522.5,
2025-07-09 02:31:00.345725,25522.5,25522.5,25522.5,25522.5,0,,
